,MIT,Cambridge,Haggle
0,0.26%,0.55%,1.26%
1,0.20%,0.74%,1.31%
2,0.20%,0.85%,1.11%
3,0.23%,0.88%,1.20%
4,0.21%,0.76%,1.20%
5,0.23%,0.43%,1.09%
6,0.56%,0.18%,1.15%
7,1.18%,0.59%,1.09%
8,2.86%,3.57%,1.60%
9,5.66%,6.68%,2.77%
10,8.00%,10.33%,3.86%
11,10.46%,12.39%,3.46%
12,12.68%,18.51%,20.52%
13,13.88%,17.50%,24.53%
14,13.50%,8.61%,9.90%
15,12.04%,4.31%,7.42%
16,7.73%,3.69%,6.40%
17,3.96%,2.94%,3.39%
18,2.49%,2.34%,1.13%
19,1.58%,1.32%,1.02%
20,0.95%,0.94%,1.04%
21,0.55%,0.67%,1.20%
22,0.28%,0.66%,1.31%
23,0.29%,0.56%,1.06%
